date,text
2021-08-10 12:03:10+00:00,Twitters racist imagecropping algorithm also sexist ageist This bad—and totally rife within
2021-08-10 12:03:10+00:00,How well animal grasp number Even better wed previously believed seems
2021-08-10 12:03:10+00:00,Text meme taking Instagram Its not Gen either teen idol Courtney Love getting act
2021-08-10 12:03:10+00:00,Smiley emojis might not mean think Its minefield
2021-08-10 12:03:10+00:00,Office politics moving home still havent claimed permanent workstation please get sake mental health
2021-08-10 12:03:10+00:00,Are lightsabers theoretically possible Kind
2021-08-09 12:03:33+00:00,The IPCC delivered grimmest warning yet climate change still time avert catastrophic heating rapidly running
2021-08-09 12:03:33+00:00,The Delta variant upended risk calculation Its struggle walk line totally terrified totally relaxed yet walk must
2021-08-09 12:03:33+00:00,Call center worker forced accept home surveillance wonder Teleperformances CEO would respond someone trying put camera bedroom
2021-08-09 12:03:33+00:00,When customer leave bad Amazon review seller hunt Yet evidence online review broken
2021-08-09 12:03:33+00:00,Chinas Big Tech crackdown lopped billion tycoon fortune Colin Huang founded Pinduoduo lost third wealth couple month
2021-08-09 12:03:33+00:00,Facebook blocking researcher want study Allegedly due privacy concern look like effort dodge scrutiny
2021-08-09 12:03:33+00:00,What rat teach human empathy Rats far likely rush rescue rat identify
2021-08-09 12:03:33+00:00,Its not you—taxi app price really higher Uber Lyft others grappling acute shortage driver
2021-08-09 12:03:33+00:00,How witch share knowledge TikTok The Pagan And Occult Distribution Network PODSnet launched 1980s
2021-08-09 12:03:33+00:00,think going back office mean Zoom think Its stay whether like not
2021-08-06 12:11:45+00:00,Predicting viral evolution may help make vaccine advance It’s way give immune system leg
2021-08-06 12:11:45+00:00,Apple scan iPhones iCloud child abuse image The firm say privacy protected expert issue
2021-08-06 12:11:45+00:00,Southern Europe ravaged wildfire The raging fire smoke forcing mass evacuation
2021-08-06 12:11:45+00:00,Facebook want live “metaverse” But even mean
2021-08-06 12:11:45+00:00,Google want know it’s possible recycle hard drive could one way mitigate toll rare earth mining
2021-08-06 12:11:45+00:00,Tickets Virgin Galactic flight available—at 450000 Get line already 600 people ahead
2021-08-06 12:11:45+00:00,Medical detect race Xray scan This problematic many many reason
2021-08-06 12:11:45+00:00,Biden want half vehicle electric 2030 New fuel efficiency standard also come force
2021-08-06 12:11:45+00:00,Why regulator need treat stablecoins like bank Crypto isn’t danger current financial system… yet
2021-08-06 12:11:45+00:00,Sorry inbox shopping mall Many EMAILS
2021-08-05 12:04:01+00:00,The world passed 200 million official case It’s another grim milestone
2021-08-05 12:04:01+00:00,How many people long covid The number frustratingly hard pin
2021-08-05 12:04:01+00:00,Facebook cut account two scientist study political It’s longrunning standoff
2021-08-05 12:04:01+00:00,Airlines using IBM’s blockchain vaccine passport And 474 airline could use today
2021-08-05 12:04:01+00:00,How transform energy system Here milestone net zero need get
2021-08-05 12:04:01+00:00,Robots learning unload lorry Sounds easy—but machine often struggle sort stuff
2021-08-05 12:04:01+00:00,The six country likely survive climateinduced societal breakdown Can maybe erm not get stage please
2021-08-05 12:04:01+00:00,How nondisclosure agreement silence gig worker Even they’ve carjacked
2021-08-05 12:04:01+00:00,Why streaming space tourism new reality You can’t afford watch Netflix
2021-08-05 12:04:01+00:00,Watch hacker hijack capsule hotel’s light fan bed Nowhere safe
2021-08-04 12:03:44+00:00,The need watch understand delta Here we’ve living delta month
2021-08-04 12:03:44+00:00,Here’s prove vaccine status smartphone howto guide confused
2021-08-04 12:03:44+00:00,These connection piece mouse brain size grain sand There half billion—and they’ve mapped
2021-08-04 12:03:44+00:00,What bitcoin went zero worst case scenario not hard imagine
2021-08-04 12:03:44+00:00,The people train selfdriving car hour The outsourcing labor global South
2021-08-04 12:03:44+00:00,Facebook want make encryption work together apparently want read personal info keeping secure
2021-08-04 12:03:44+00:00,The leftwing activist bringing back MAGA Twitter Not convinced great idea honest
2021-08-04 12:03:44+00:00,Inside collapse Amazon’s drone delivery business Some amazing tale corporate dysfunction
2021-08-04 12:03:44+00:00,Boeing’s Starliner launch delayed indefinitely Not good look
2021-08-04 12:03:44+00:00,Pokémon want send player back outside And player saying nope
2021-08-03 12:03:36+00:00,How Saudi Arabia weaponizing social medium Murdered journalist Jamal Khashoggi faced swarm online harassment
2021-08-03 12:03:36+00:00,People looking unauthorized covid booster shot causing havoc Anxious patient trying beat system
2021-08-03 12:03:36+00:00,How France tamed Google The money meaningless change profound
2021-08-03 12:03:36+00:00,labmeat hit dinner plate note cautionskepticism
2021-08-03 12:03:36+00:00,Germany testing electrified highway could best way reduce truck emission
2021-08-03 12:03:36+00:00,Forests generate carbon offset company fire The irony painful
2021-08-03 12:03:36+00:00,Google’s new phone come custom chip Here’s everything need know Tensor
2021-08-03 12:03:36+00:00,Hospitals still use pneumatic tubes—and hacked Old tech new problem
2021-08-03 12:03:36+00:00,Inside world Bored Ape Yacht Club It’s NFT thing And mean big
2021-08-03 12:03:36+00:00,What space station start backflips Try not freak
2021-08-02 12:04:40+00:00,We’re strange new stage pandemic Cases surging death not
2021-08-02 12:04:40+00:00,Why manager fear remote work future Business leader need ask tough question
2021-08-02 12:04:40+00:00,The influencer army thats recruited get people vaccinated The White House teamed TikTok star push provaccine message
2021-08-02 12:04:40+00:00,endlessly changing playground teach AIs multitask Virtual game world could help nudge towards general intelligence
2021-08-02 12:04:40+00:00,Why Mark Zuckerberg’s “metaverse” already suck Nevermind creepy it’s boring
2021-08-02 12:04:40+00:00,Police get hold data—even aren’t suspected anything And might never know
2021-08-02 12:04:40+00:00,How SpaceX saved NASA 500m single rocket And mean get space science bang buck
2021-08-02 12:04:40+00:00,scientific brain drain hitting And could affect Biden’s climate plan
2021-08-02 12:04:40+00:00,The first ever “time crystal” may created And built inside quantum computer Very cool stuff
2021-08-02 12:04:40+00:00,Underwater drone finding America’s war dead Wreckage remains lost since 1967 found Vietnam’s coast
2021-07-30 12:04:05+00:00,federal worker military vaccinated say Biden The president said refusing vaccine expect ‘inconveniences’
2021-07-30 12:04:05+00:00,How many people really long covid It’s proving impossible pin
2021-07-30 12:04:05+00:00,Russian module ISS suddenly fired thruster docking That was… erm not planned
2021-07-30 12:04:05+00:00,lab meat really going solve agriculture problem The nascent industry need scale grow careful way
2021-07-30 12:04:05+00:00,oral history Black Twitter Its code custom deeprooted problem
2021-07-30 12:04:05+00:00,The Amazon rainforest approaching point return It’s horrific land grab epic scale
2021-07-30 12:04:05+00:00,China built world’s biggest face recognition system—but it’s camerashy Public worry privacy recognized
2021-07-30 12:04:05+00:00,How Japan trying deal Tokyos intense heat Ways keep athlete cool could help future heatwaves
2021-07-30 12:04:05+00:00,cyclic model universe rethink Big Bang What universe enters new phase every trillion year
2021-07-30 12:04:05+00:00,Inside world StripTok Where stripper find friendly face vent share tip
2021-07-28 12:35:51+00:00,rely Facebook news youre much likely vaccinated Even watch Fox But relationship causal
2021-07-28 12:35:51+00:00,The first TikTok Olympics see inside athlete village like never
2021-07-28 12:35:51+00:00,Who pay protect Big Tech’s campus rising sea The taxpayer Silicon Valley giant know think
2021-07-28 12:35:51+00:00,Where popper come It’s goto sex drug gay men But make
2021-07-28 12:35:51+00:00,Virtual reality rich white kid technology Its disappointing year yet tech investor keep giving money chance
2021-07-28 12:35:51+00:00,Instagram introduced new safety protection child But… still ploughing ahead building version platform under13s
2021-07-28 12:35:51+00:00,Its year since NASA put car moon This beautifully quintessentially American
2021-07-28 12:35:51+00:00,Activision Blizzard show NOT respond sexism lawsuit dismissed claim attacked employee now… theyre going strike today
2021-07-28 12:35:51+00:00,Why todo apps mostly fail None work well writing list piece paper crossing
2021-07-28 12:35:51+00:00,How pioneering teen punk led movement disabled people online This internet best connecting people need community
2021-07-27 12:03:36+00:00,Whats toughest Olympic sport strong case gymnastics let honest… theyre incredibly difficult
2021-07-27 12:03:36+00:00,See how—and where—covid19 case surging Louisiana Florida Arkansas leading particularly depressing charge
2021-07-27 12:03:36+00:00,Epics delivering inaccurate information seriously ill patient The fact algorithm shielded corporate secrecy make problem even worse
2021-07-27 12:03:36+00:00,Those code Theyre tracking Ill take paper menu thanks
2021-07-27 12:03:36+00:00,Jeff Bezos offering NASA billion reconsider company contract This really feel like bribe
2021-07-27 12:03:36+00:00,How tech changing young people life These essay cover everything language lesson gaming livestreamed Alicia Keys concert
2021-07-27 12:03:36+00:00,Weve changed commute grasp bit flexibility now time
2021-07-27 12:03:36+00:00,QAnon convinced man son shooting hoax This incredibly sad
2021-07-27 12:03:36+00:00,Magnetized concrete could charge car drive It’s called ‘magment’ natch
2021-07-27 12:03:36+00:00,Physicists frenzy fractons These strange partial quasiparticle might help tackle grittiest problem physic
2021-07-26 12:04:02+00:00,Japanese company testing pill covid19 The onceaday drug designed neutralize coronavirus week
2021-07-26 12:04:02+00:00,This man couldnt get fiancées death turned chatbot good Possibly not completely understandable Yes
2021-07-26 12:04:02+00:00,got bestever look inside Mars And complex previously thought
2021-07-26 12:04:02+00:00,Facebook religion match made heaven long everyones making plenty money seems
2021-07-26 12:04:02+00:00,Uber Lyft driver hit wave carjacking They load stress contend daytoday anyway
2021-07-26 12:04:02+00:00,These YouTubers blew whistle antivax plot suspect seeing tiny slice disinformationforhire industry
2021-07-26 12:04:02+00:00,study found virtual contact worse contact The evidence keep mounting human really need spend time together person
2021-07-26 12:04:02+00:00,Some town trying lure remote worker cash Its not working
2021-07-26 12:04:02+00:00,Why jelly back fashion You partly thank ASMR apparently
2021-07-26 12:04:02+00:00,The day good internet died RIP Google Reader
2021-07-23 12:03:38+00:00,The Olympics could help carry covid19 variant world might not dont know But well find soon
2021-07-23 12:03:38+00:00,What happens hit 3°C That heading And reach nowhere going safe
2021-07-23 12:03:38+00:00,The pandemic unvaccinated More hospitalization covid right unvaccinated people according CDC
2021-07-23 12:03:38+00:00,Mark Zuckerberg going allin metaverse The tech sector excited blending physical digital world time yet still feel long way
2021-07-23 12:03:38+00:00,The CIA seems serious solving Havana Syndrome mystery The officer helped hunt Osama Bin Laden given job get bottom
2021-07-23 12:03:38+00:00,Were burned Now let use opportunity rethink relationship work
