Date,Title,Subtitle,Author,Publication,Minutes
2021-08-06 11:40:00+00:00,The evolution of Natural Language Processing and its impact on the legal sector,Why learning by example is the only way to optimise language models,Della AI,The Della Blog ,4
2021-08-06 11:40:00+00:00,Handling Text in Python,"How to import, read and edit text in Python",Cristiane Silva,Python in Plain English ,3
2021-08-06 11:40:00+00:00,Creating Toyplots in Python 🧸,High-quality minimalist interactive visualizations ideal for electronic publishing,Elena Kosourova,Geek Culture ,8
2021-08-06 11:40:00+00:00,Machine Learning and Data Science Resources,A collection of data science related resources that helped me with my journey so far,Aakanksha NS,MLearning.ai ,6
2021-08-06 11:40:00+00:00,New Genetic Signatures of Human Longevity Identified,A new study finds longevity-associated gene variants in data from human centenarians,Gunnar De Winter,Predict ,4
2021-08-05 11:40:00+00:00,Introduction to Process Mining,Learn the basics of process mining and how to use process discovery algorithms in Python,Eryk Lewinson,Towards Data Science ,11
2021-08-05 11:40:00+00:00,Applied Text Analysis with Python: Chapter 1 - Language and Computation,"Or, the beginning of the journey…",Anna Winkler,CodeX ,5
2021-08-05 11:40:00+00:00,Comprehensive Guide to Plotly Express in Python: The Hottest Graphing Library,Let's get interactive with Plotly!,Bex T.,Towards Dev ,8
2021-08-05 11:40:00+00:00,A Tutorial on Performing Sentiment Analysis in Python 3 Using the Natural…,This tutorial will demonstrate the detection of positive or negative sentiment in twitter data using…,Chantal D Gama Rose,Geek Culture ,10
2021-08-05 11:40:00+00:00,3 Programming Books Every Data Scientist Must Read,Master the programming aspect of data science with Python,Dario Radečić,Towards Data Science ,5
2021-08-05 11:40:00+00:00,Endless River: An Overview of DataViz for Categorical Data,"Exploring ready-made chart types such as arc and chord diagrams, and sunburst and Sankey charts",Jonathan Dunne,Nightingale ,12
2021-08-05 11:40:00+00:00,Knowing Your Neighbours: Machine Learning on Graphs,We live in a deeply connected world. Graph Machine Learning provides Data Scientists with the tools to…,Pantelis Elinas,stellargraph ,9
2021-08-05 11:40:00+00:00,Decision Trees & Random Forests in Pyspark,One of the most common Machine Learning algorithms in the world of data science is Decision Trees because…,Kieran Tan Kah Wang,Python in Plain English ,6
2021-08-05 11:40:00+00:00,Someone Made My Father Sick,"My 95-year-old, fully vaccinated, deaf, dear father is in the hospital with breakthrough COVID. Someone in…",Jeff Jarvis,Whither news? ,4
2021-08-05 11:40:00+00:00,Being an Unvaccinated American Is About to Get Difficult,Good.,Will Leitch,GEN ,4
2021-08-04 11:40:00+00:00,Here's the most efficient way to iterate through your Pandas Dataframe,Achieve 280x times faster data frame iteration,Satyam Kumar,Towards Data Science ,4
2021-08-04 11:40:00+00:00,Logistic Regression with PySpark,"In this post, we will build a machine learning model to accurately predict whether or not the patients in the…",Gülcan Öğündür,The Startup ,8
2021-08-04 11:40:00+00:00,JupyterLite: Jupyter ❤️ WebAssembly ❤️ Python,"JupyterLite is a JupyterLab distribution that runs entirely in the web browser, backed by in-browser language…",Jeremy Tuloup,Jupyter Blog ,7
2021-08-04 11:40:00+00:00,TextBlob - A Package Every Python Programmer Should Know,No need to call in the Data Scientist to perform NLP,Eric Fillion,Python in Plain English ,3
2021-08-04 11:40:00+00:00,A Simple Way to Choose a Python Optimization Package,There are countless open-source optimization packages that can help you minimize an arbitrary multivariate…,Microprediction,Geek Culture ,5
2021-08-04 11:40:00+00:00,A Graph-based Text Similarity Method with Named Entity Information in NLP,Research Paper Summary,Prakhar Mishra,MLearning.ai ,4
2021-08-04 11:40:00+00:00,I Named My Kids After Where They Were Conceived,It was a huge mistake.,Nathaniel Brown,Slackjaw ,4
2021-08-04 11:40:00+00:00,Topic Modeling and Data Visualization with Python/Flask,I recently became interested in data visualization and topic modeling in Python. One of the problems with…,Ethan Jarrell,HackerNoon.com ,21
2021-08-04 11:40:00+00:00,Are THC and CBD actually safe for everyone?,These cannabinoids can cause drug interactions similar to grapefruit,Renee Consorte,Cannabis Explorations ,8
2021-08-04 11:40:00+00:00,"The Rage, Sadness, and Frustration of Our Bay Area Healthcare Workers","'The recent uptick in infection rates leaves me feeling frustrated, scared, sad, and angry'",Juanita MORE!,The Bold Italic ,7
2021-08-03 11:40:00+00:00,The Biggest Mistake I Did When Learning Data Science,Which took me a long time to realize.,Soner Yıldırım,Towards Data Science ,4
2021-08-03 11:40:00+00:00,Automate Your Database Job by Using GPT-3 To Generate Queries,AI can now write complex database queries on your command,Pranjal Saxena,Better Programming ,4
2021-08-03 11:40:00+00:00,The NLP Cypher | 06.13.21,Vintage,Quantum Stat,Geek Culture ,7
2021-08-03 11:40:00+00:00,Common Challenges in Machine Learning and How to Tackle Them,Introduction,Towards AI Team,Towards AI ,11
2021-08-03 11:40:00+00:00,A Comprehensive guide on handling Missing Values,Most of the real world data contains missing values. They occur due to many reasons like some observations…,Mallidi Akhil Reddy,#ByCodeGarage ,10
2021-08-03 11:40:00+00:00,Web-Scraping using Python and BeautifulSoup,How to scrape the data from web pages and save it to a csv file.,ANKIT THAKUR,Jovian - Data Science and Machine Learning Tutorials ,10
2021-08-03 11:40:00+00:00,Machine Learning on M1 MacBook Air,Colon Polyp Classification with Mac-Optimized TensorFlow,Andrew A Borkowski,Analytics Vidhya ,3
2021-08-03 11:40:00+00:00,Div === Span 🤯,"In CSS div is equal to span. Yes, you heard that right!",Naveen DA,JavaScript in Plain English ,2
2021-08-03 11:40:00+00:00,"""Write For Us"" Opportunities You Are Missing",How to properly use Google in your search to submit writing,Shelby Sullivan,The Writing Cooperative ,4
2021-08-03 11:40:00+00:00,A Primer on Data Drift,"When Machine Learning models are not relevant anymore, it might be due to underlying data drift. Here, we…",Du Phan,data from the trenches ,10
2021-08-03 11:40:00+00:00,Web Scraping Finance Data with Scrapy + Yahoo Finance,Part I: Scraping Stock data to file,Immanuel Ryan Augustine,Python in Plain English ,7
2021-08-03 11:40:00+00:00,"Windows 11 is Beautiful, Because Microsoft is Finally Sweating the Details","With its newest redesign of Windows, Microsoft wants to win back developers.",Owen Williams,Debugger ,5
2021-08-03 11:40:00+00:00,Tesla's decision to open its Supercharger network to the competition is a…,"On July 20, Elon Musk announced to a Tesla owner who had tweeted about the car-maker's pioneering…",Enrique Dans,The Mobilist ,3
2021-08-03 11:40:00+00:00,Tesla Is Dead (And Elon Musk Knows It),"The $600+ billion company is a game-changer, but it won't exist in 50 years",Jared A. Brock,Surviving Tomorrow ,8
2021-08-02 11:40:00+00:00,"5 Outlier Detection Techniques that every ""Data Enthusiast"" Must Know",Outlier Detection Methods (Visuals and Code),Prakhar Mishra,Towards Data Science ,8
2021-08-02 11:40:00+00:00,9 Publications Who Need Writers At $300 to $750 Per Story,The value a writer gets from exposure is the greatest value any writer can wish for. A new reader.,Rick Govic,The Writing Cooperative ,6
2021-08-02 11:40:00+00:00,Business Intelligence Visualizations with Python,"I prepared an extensive guide to display beautiful visualizations to enhance metrics, KPIs, forecasts, and…",Julian Herrera,Towards Data Science ,9
2021-08-02 11:40:00+00:00,5 Programs for Processing PDF file with Python,"Creating, merging, locking, unlocking, and watermarking explained with code",Swathi Arun,Level Up Coding ,3
2021-08-02 11:40:00+00:00,7 DIY Data Science Project Ideas Using Your Personal Data,"As we get into the field of data science, many times, we have difficulty finding data which is structured and…",Kartik Godawat,Jovian - Data Science and Machine Learning Tutorials ,6
2021-08-02 11:40:00+00:00,Twitter Data Cleaning and Preprocessing for Data Science,"In the past decade, new forms of communication, such as microblogging and text messaging have emerged and…",Sayan Mondal,The Startup ,4
2021-08-02 11:40:00+00:00,Scraping Data from a Website,Using pandas to scrap data in a single line of code,Himanshu Sharma,MLearning.ai ,2
2021-08-02 11:40:00+00:00,Data cleaning using the pandas' library,when we solve the machine learning problem we need pandas library because without pandas library we can not…,Umakant_Shinde,Analytics Vidhya ,2
2021-08-02 11:40:00+00:00,9 Python Tricks to Become a Better Data Scientist,You should know these awesome tricks to have a better data scientist career,Görkem Arslan,Python in Plain English ,3
2021-08-02 11:40:00+00:00,Lessons from a Billionaire CEO Who Can't Focus on Anything for More than 4…,Jack Dorsey is not your typical CEO ,Joseph Mavericks,Entrepreneur's Handbook ,8
2021-08-02 11:40:00+00:00,The Latin American Startup Opportunity,By Sonya Huang and Doug Leone,Sequoia,Sequoia Capital Publication ,8
2021-08-02 11:40:00+00:00,Making Money on LinkedIn Is a Secret Society,Let me show you exactly how content creators make money on LinkedIn. It's not obvious - and I've been doing…,Tim Denning,Entrepreneur's Handbook ,4
2021-08-01 11:40:00+00:00,How to Write an Essay Everyone Wants to Read,Five steps to creating a meaningful personal narrative,Amy Shearn,Creators Hub ,8
2021-08-01 11:40:00+00:00,How To Read Your Horoscope in Python,Use Python for fun,Elena Kosourova,Better Programming ,3
2021-08-01 11:40:00+00:00,How to ace Exploratory Data Analysis,This article focuses on graphical and numerical ways of performing EDA using Python libraries such as Pandas…,Rahul Pandey,Analytics Vidhya ,6
2021-08-01 11:40:00+00:00,Data Science Trends 2016–2021,Trend detection on Towards Data Science posts,Mathias Gruber,Geek Culture ,5
2021-08-01 11:40:00+00:00,Top 11 Python Libraries You Must Know For Data Science,One of the reasons Python is so valuable to Data Science is its huge collection of data analysis and…,Mikhail Raevskiy,Python in Plain English ,5
2021-08-01 11:40:00+00:00,How to use data visualization to validate imputation tasks,"Creating custom charts can help us better understand, validate, and improve imputation tasks in data science…",Benjamin Cooley,When Machines Learn ,8
2021-08-01 11:40:00+00:00,"Facebook Open Sourced BlenderBot 2.0,",The new version expands the capabilities of its predecessor building a much more natural conversational…,Jesus Rodriguez,Towards AI ,3
2021-08-01 11:40:00+00:00,"Pandas, Dask or PySpark? What Should You Choose for Your Dataset?",Do you need to handle datasets that are larger than 100GB?,Alina Zhang,DataDrivenInvestor ,2
2021-08-01 11:40:00+00:00,Day 20 of the 66 Days of Data,Documenting my Data Science Learning Journey,Chanin Nantasenamat,Data Professor ,3
2021-08-01 11:40:00+00:00,Beginner's Guide to Pandas DataFrame Cleaning.,Part 1: Cleaning a .csv file from my baby's sleep tracking app.,Evelyn Torrellas Cates,Nerd For Tech ,5
2021-08-01 11:40:00+00:00,Rest In Power: Ayesha K. Faines,ZORA columnist Ayesha K. Faines passed away on July 2. Her parents want to honor her legacy.,ZORA Editors,ZORA ,2
2021-08-01 11:40:00+00:00,Are You A New Writer On Medium? Start Here,These best practices can save you stress,Darius Foroux,Creators Hub ,6
2021-07-31 11:40:00+00:00,Data Types in Data Science,A quick guide on the differences between quantitative and qualitative data,Kirill Bobrov,Analytics Vidhya ,3
2021-07-31 11:40:00+00:00,On writing clean Jupyter notebooks,10 recommendations for writing readable and maintainable notebooks,Eduardo Blancas,Towards Data Science ,14
2021-07-31 11:40:00+00:00,How to Handle Missing Data in Python using Pandas,Day 11 of the 66 Days of Data,Chanin Nantasenamat,Data Professor ,6
2021-07-31 11:40:00+00:00,The difference between a=a+b and a+=b in Python,Introduction,Chetan Ambi,Towards AI ,4
2021-07-31 11:40:00+00:00,MacBook M1: installing TensorFlow and Jupyter Notebook,These are the steps I took to install TensorFlow and Jupyter Notebook in my MacBook M1 (Apple Silicon ARM64),Gonzalo Ruiz de Villa,gft-engineering ,4
